t,pop,estrategia,frequencia
0,0,O,0.397
0,0,Y,0.4012
0,0,B,0.2018
0,1,O,0.4072
0,1,Y,0.3968
0,1,B,0.196
0,2,O,0.4024
0,2,Y,0.3991
0,2,B,0.1985
0,3,O,0.4027
0,3,Y,0.3966
0,3,B,0.2007
0,4,O,0.4041
0,4,Y,0.39
0,4,B,0.2059
0,5,O,0.3999
0,5,Y,0.4061
0,5,B,0.194
0,6,O,0.3976
0,6,Y,0.4012
0,6,B,0.2012
0,7,O,0.3958
0,7,Y,0.4071
0,7,B,0.1971
0,8,O,0.3951
0,8,Y,0.4034
0,8,B,0.2015
0,9,O,0.4001
0,9,Y,0.3961
0,9,B,0.2038
0,10,O,0.4005
0,10,Y,0.401
0,10,B,0.1985
0,11,O,0.4003
0,11,Y,0.3976
0,11,B,0.2021
0,12,O,0.3958
0,12,Y,0.4003
0,12,B,0.2039
0,13,O,0.3934
0,13,Y,0.4075
0,13,B,0.1991
0,14,O,0.4069
0,14,Y,0.3935
0,14,B,0.1996
0,15,O,0.396
0,15,Y,0.3983
0,15,B,0.2057
0,16,O,0.4128
0,16,Y,0.3899
0,16,B,0.1973
0,17,O,0.4007
0,17,Y,0.4015
0,17,B,0.1978
0,18,O,0.4041
0,18,Y,0.3981
0,18,B,0.1978
0,19,O,0.3993
0,19,Y,0.4025
0,19,B,0.1982
0,20,O,0.3994
0,20,Y,0.401
0,20,B,0.1996
0,21,O,0.3887
0,21,Y,0.4031
0,21,B,0.2082
0,22,O,0.3903
0,22,Y,0.4061
0,22,B,0.2036
0,23,O,0.4012
0,23,Y,0.3999
0,23,B,0.1989
0,24,O,0.3996
0,24,Y,0.3979
0,24,B,0.2025
0,25,O,0.3957
0,25,Y,0.4002
0,25,B,0.2041
0,26,O,0.4007
0,26,Y,0.3969
0,26,B,0.2024
0,27,O,0.4013
0,27,Y,0.3995
0,27,B,0.1992
0,28,O,0.3993
0,28,Y,0.4024
0,28,B,0.1983
0,29,O,0.392
0,29,Y,0.4045
0,29,B,0.2035
0,30,O,0.3966
0,30,Y,0.4042
0,30,B,0.1992
0,31,O,0.3933
0,31,Y,0.404
0,31,B,0.2027
0,32,O,0.4106
0,32,Y,0.4009
0,32,B,0.1885
0,33,O,0.4025
0,33,Y,0.4002
0,33,B,0.1973
0,34,O,0.3974
0,34,Y,0.4021
0,34,B,0.2005
0,35,O,0.3908
0,35,Y,0.4018
0,35,B,0.2074
0,36,O,0.4071
0,36,Y,0.3926
0,36,B,0.2003
0,37,O,0.3983
0,37,Y,0.4
0,37,B,0.2017
0,38,O,0.4051
0,38,Y,0.396
0,38,B,0.1989
0,39,O,0.3996
0,39,Y,0.3965
0,39,B,0.2039
0,40,O,0.4016
0,40,Y,0.3997
0,40,B,0.1987
0,41,O,0.3991
0,41,Y,0.4018
0,41,B,0.1991
0,42,O,0.4074
0,42,Y,0.3934
0,42,B,0.1992
0,43,O,0.4032
0,43,Y,0.4016
0,43,B,0.1952
0,44,O,0.3965
0,44,Y,0.4039
0,44,B,0.1996
0,45,O,0.4052
0,45,Y,0.3966
0,45,B,0.1982
0,46,O,0.393
0,46,Y,0.403
0,46,B,0.204
0,47,O,0.405
0,47,Y,0.3908
0,47,B,0.2042
0,48,O,0.3925
0,48,Y,0.4027
0,48,B,0.2048
0,49,O,0.3996
0,49,Y,0.4003
0,49,B,0.2001
0,50,O,0.4019
0,50,Y,0.3988
0,50,B,0.1993
0,51,O,0.3971
0,51,Y,0.4025
0,51,B,0.2004
0,52,O,0.4077
0,52,Y,0.3972
0,52,B,0.1951
0,53,O,0.3926
0,53,Y,0.413
0,53,B,0.1944
0,54,O,0.3964
0,54,Y,0.4007
0,54,B,0.2029
0,55,O,0.3978
0,55,Y,0.4014
0,55,B,0.2008
0,56,O,0.3928
0,56,Y,0.4047
0,56,B,0.2025
0,57,O,0.4022
0,57,Y,0.4037
0,57,B,0.1941
0,58,O,0.3942
0,58,Y,0.4013
0,58,B,0.2045
0,59,O,0.4004
0,59,Y,0.3973
0,59,B,0.2023
0,60,O,0.4001
0,60,Y,0.3935
0,60,B,0.2064
0,61,O,0.3981
0,61,Y,0.402
0,61,B,0.1999
0,62,O,0.4054
0,62,Y,0.399
0,62,B,0.1956
0,63,O,0.4017
0,63,Y,0.395
0,63,B,0.2033
0,64,O,0.4049
0,64,Y,0.3985
0,64,B,0.1966
0,65,O,0.3969
0,65,Y,0.4109
