pop,t,freq_O,freq_Y,freq_B,r_mean,r_O,r_Y,r_B
0,-1,0.3347,0.33,0.3353,4.4955,4.533014639976098,4.457575757575758,4.4953772740829105
0,0,0.3537,0.2987,0.3476,7.9994,7.9988690981057395,7.999330431871443,8.0
0,1,0.3146,0.3623,0.3231,8.0,8.0,8.0,8.0
0,2,0.3207,0.3814,0.2979,8.0,8.0,8.0,8.0
0,3,0.3406,0.3496,0.3098,8.0,8.0,8.0,8.0
0,4,0.351,0.3114,0.3376,8.0,8.0,8.0,8.0
0,5,0.3655,0.3116,0.3229,8.0,8.0,8.0,8.0
0,6,0.376,0.3283,0.2957,8.0,8.0,8.0,8.0
0,7,0.3377,0.3162,0.3461,8.0,8.0,8.0,8.0
0,8,0.2598,0.3271,0.4131,8.0,8.0,8.0,8.0
0,9,0.2504,0.3222,0.4274,8.0,8.0,8.0,8.0
0,10,0.2622,0.2995,0.4383,8.0,8.0,8.0,8.0
0,11,0.3158,0.2626,0.4216,8.0,8.0,8.0,8.0
0,12,0.3898,0.2605,0.3497,8.0,8.0,8.0,8.0
0,13,0.424,0.3188,0.2572,8.0,8.0,8.0,8.0
0,14,0.3797,0.384,0.2363,8.0,8.0,8.0,8.0
0,15,0.279,0.429,0.292,8.0,8.0,8.0,8.0
0,16,0.2446,0.4059,0.3495,8.0,8.0,8.0,8.0
0,17,0.2614,0.321,0.4176,8.0,8.0,8.0,8.0
0,18,0.3284,0.2604,0.4112,8.0,8.0,8.0,8.0
0,19,0.3982,0.2385,0.3633,8.0,8.0,8.0,8.0
0,20,0.4302,0.2977,0.2721,8.0,8.0,8.0,8.0
0,21,0.3786,0.3639,0.2575,8.0,8.0,8.0,8.0
0,22,0.2657,0.4105,0.3238,8.0,8.0,8.0,8.0
0,23,0.2376,0.3909,0.3715,8.0,8.0,8.0,8.0
0,24,0.2912,0.2848,0.424,8.0,8.0,8.0,8.0
0,25,0.3524,0.243,0.4046,8.0,8.0,8.0,8.0
0,26,0.4208,0.2573,0.3219,8.0,8.0,8.0,8.0
0,27,0.4185,0.3259,0.2556,8.0,8.0,8.0,8.0
0,28,0.3598,0.3941,0.2461,8.0,8.0,8.0,8.0
0,29,0.2467,0.443,0.3103,8.0,8.0,8.0,8.0
0,30,0.2296,0.3996,0.3708,8.0,8.0,8.0,8.0
0,31,0.2939,0.2694,0.4367,8.0,8.0,8.0,8.0
0,32,0.3565,0.2231,0.4204,8.0,8.0,8.0,8.0
0,33,0.4273,0.247,0.3257,8.0,8.0,8.0,8.0
0,34,0.428,0.3105,0.2615,8.0,8.0,8.0,8.0
0,35,0.3676,0.3836,0.2488,8.0,8.0,8.0,8.0
