y,b,media_estrategias_mantidas,std_estrategias_mantidas
7,2,3.0,0.0
7,3,3.0,0.0
7,4,3.0,0.0
7,5,3.0,0.0
8,1,3.0,0.0
8,2,3.0,0.0
8,3,3.0,0.0
8,4,3.0,0.0
8,5,3.0,0.0
9,1,2.8,0.4020151261036848
9,2,3.0,0.0
9,3,3.0,0.0
9,4,3.0,0.0
9,5,3.0,0.0
10,1,2.0,0.0
10,2,3.0,0.0
10,3,3.0,0.0
10,4,3.0,0.0
10,5,3.0,0.0
6,6,3.0,0.0
6,7,3.0,0.0
6,8,3.0,0.0
6,9,3.0,0.0
6,10,3.0,0.0
7,6,3.0,0.0
7,7,3.0,0.0
7,8,3.0,0.0
7,9,3.0,0.0
7,10,3.0,0.0
8,6,3.0,0.0
8,7,3.0,0.0
8,8,3.0,0.0
8,9,3.0,0.0
8,10,3.0,0.0
9,6,3.0,0.0
9,7,3.0,0.0
9,8,3.0,0.0
9,9,3.0,0.0
9,10,3.0,0.0
10,6,3.0,0.0
10,7,3.0,0.0
10,8,3.0,0.0
10,9,3.0,0.0
10,10,3.0,0.0
6,11,3.0,0.0
6,12,1.89,0.9938701010583716
6,13,1.06,0.3428932159955306
6,14,1.04,0.2814105882725794
6,15,1.0,0.0
7,11,3.0,0.0
7,12,1.89,0.9938701010583716
7,13,1.06,0.3428932159955306
7,14,1.04,0.2814105882725794
7,15,1.0,0.0
8,11,3.0,0.0
8,12,1.89,0.9938701010583716
8,13,1.06,0.3428932159955306
8,14,1.04,0.2814105882725794
8,15,1.0,0.0
9,11,2.98,0.1999999999999999
9,12,2.56,0.8326663997864532
9,13,1.2,0.6030226891555271
9,14,1.04,0.2814105882725794
9,15,1.0,0.0
10,11,3.0,0.0
10,12,2.9,0.4380858271151807
10,13,1.54,0.8923920866769472
10,14,1.1,0.4380858271151807
10,15,1.0,0.0
6,16,1.0,0.0
6,17,1.0,0.0
6,18,1.0,0.0
6,19,2.0,0.0
6,20,1.0,0.0
7,16,1.0,0.0
7,17,1.0,0.0
7,18,1.0,0.0
7,19,2.0,0.0
7,20,1.0,0.0
8,16,1.0,0.0
8,17,1.0,0.0
8,18,1.0,0.0
8,19,2.0,0.0
8,20,1.0,0.0
9,16,1.0,0.0
9,17,1.0,0.0
9,18,1.0,0.0
9,19,2.0,0.0
9,20,1.0,0.0
10,16,1.0,0.0
10,17,1.0,0.0
10,18,1.0,0.0
10,19,2.0,0.0
10,20,1.0,0.0
6,21,2.0,0.0
6,22,2.0,0.0
6,23,2.0,0.0
6,24,2.0,0.0
6,25,2.0,0.0
7,21,2.0,0.0
7,22,2.0,0.0
7,23,2.0,0.0
7,24,2.0,0.0
7,25,2.0,0.0
8,21,2.0,0.0
8,22,2.0,0.0
8,23,2.0,0.0
8,24,2.0,0.0
8,25,2.0,0.0
9,21,2.0,0.0
9,22,2.0,0.0
9,23,2.0,0.0
9,24,2.0,0.0
9,25,2.0,0.0
10,21,2.0,0.0
10,22,2.0,0.0
10,23,2.0,0.0
10,24,2.0,0.0
10,25,2.0,0.0
6,26,2.0,0.0
6,27,2.0,0.0
6,28,2.0,0.0
6,29,2.0,0.0
6,30,2.0,0.0
7,26,2.0,0.0
7,27,2.0,0.0
7,28,2.0,0.0
7,29,2.0,0.0
7,30,2.0,0.0
8,26,2.0,0.0
8,27,2.0,0.0
8,28,2.0,0.0
8,29,2.0,0.0
8,30,2.0,0.0
9,26,2.0,0.0
9,27,2.0,0.0
9,28,2.0,0.0
9,29,2.0,0.0
