y,b,prop_B_mantida,prop_O_mantida,prop_Y_mantida
5,39,1.0,0.69,0.0
5,40,1.0,0.71,0.0
1,41,1.0,0.76,0.0
1,42,1.0,0.75,0.0
2,41,1.0,0.76,0.0
2,42,1.0,0.75,0.0
3,41,1.0,0.76,0.0
3,42,1.0,0.75,0.0
4,41,1.0,0.76,0.0
4,42,1.0,0.75,0.0
5,41,1.0,0.76,0.0
5,42,1.0,0.75,0.0
1,41,1.0,0.76,0.0
1,42,1.0,0.75,0.0
2,41,1.0,0.76,0.0
2,42,1.0,0.75,0.0
3,41,1.0,0.76,0.0
3,42,1.0,0.75,0.0
4,41,1.0,0.76,0.0
4,42,1.0,0.75,0.0
5,41,1.0,0.76,0.0
5,42,1.0,0.75,0.0
6,1,1.0,1.0,1.0
6,2,1.0,1.0,1.0
6,3,1.0,1.0,1.0
6,4,1.0,1.0,1.0
6,5,1.0,1.0,1.0
7,1,1.0,1.0,1.0
7,2,1.0,1.0,1.0
7,3,1.0,1.0,1.0
7,4,1.0,1.0,1.0
7,5,1.0,1.0,1.0
8,1,1.0,1.0,1.0
8,2,1.0,1.0,1.0
8,3,1.0,1.0,1.0
8,4,1.0,1.0,1.0
8,5,1.0,1.0,1.0
9,1,1.0,0.8,1.0
9,2,1.0,1.0,1.0
9,3,1.0,1.0,1.0
9,4,1.0,1.0,1.0
9,5,1.0,1.0,1.0
10,1,1.0,0.0,1.0
10,2,1.0,1.0,1.0
10,3,1.0,1.0,1.0
10,4,1.0,1.0,1.0
10,5,1.0,1.0,1.0
6,6,1.0,1.0,1.0
6,7,1.0,1.0,1.0
6,8,1.0,1.0,1.0
6,9,1.0,1.0,1.0
6,10,1.0,1.0,1.0
7,6,1.0,1.0,1.0
7,7,1.0,1.0,1.0
7,8,1.0,1.0,1.0
7,9,1.0,1.0,1.0
7,10,1.0,1.0,1.0
8,6,1.0,1.0,1.0
8,7,1.0,1.0,1.0
8,8,1.0,1.0,1.0
8,9,1.0,1.0,1.0
8,10,1.0,1.0,1.0
9,6,1.0,1.0,1.0
9,7,1.0,1.0,1.0
9,8,1.0,1.0,1.0
9,9,1.0,1.0,1.0
9,10,1.0,1.0,1.0
10,6,1.0,1.0,1.0
10,7,1.0,1.0,1.0
10,8,1.0,1.0,1.0
10,9,1.0,1.0,1.0
10,10,1.0,1.0,1.0
6,11,1.0,1.0,1.0
6,12,0.45,0.86,0.58
6,13,0.03,0.98,0.05
6,14,0.02,1.0,0.02
