t,pop,estrategia,frequencia
0,0,O,0.6957
0,0,Y,0.1531
0,0,B,0.1512
0,1,O,0.7053
0,1,Y,0.1493
0,1,B,0.1454
0,2,O,0.7041
0,2,Y,0.1461
0,2,B,0.1498
0,3,O,0.7013
0,3,Y,0.1496
0,3,B,0.1491
0,4,O,0.6994
0,4,Y,0.1482
0,4,B,0.1524
0,5,O,0.7051
0,5,Y,0.1496
0,5,B,0.1453
0,6,O,0.6996
0,6,Y,0.149
0,6,B,0.1514
0,7,O,0.7052
0,7,Y,0.144
0,7,B,0.1508
0,8,O,0.6919
0,8,Y,0.1556
0,8,B,0.1525
0,9,O,0.6939
0,9,Y,0.1545
0,9,B,0.1516
0,10,O,0.6991
0,10,Y,0.15
0,10,B,0.1509
0,11,O,0.6969
0,11,Y,0.1515
0,11,B,0.1516
0,12,O,0.6952
0,12,Y,0.1531
0,12,B,0.1517
0,13,O,0.6998
0,13,Y,0.1529
0,13,B,0.1473
0,14,O,0.7047
0,14,Y,0.1434
0,14,B,0.1519
0,15,O,0.6908
0,15,Y,0.1534
0,15,B,0.1558
0,16,O,0.704
0,16,Y,0.1502
0,16,B,0.1458
0,17,O,0.7024
0,17,Y,0.1488
0,17,B,0.1488
0,18,O,0.7034
0,18,Y,0.15
0,18,B,0.1466
0,19,O,0.7038
0,19,Y,0.1491
0,19,B,0.1471
0,20,O,0.6958
0,20,Y,0.1559
0,20,B,0.1483
0,21,O,0.694
0,21,Y,0.1524
0,21,B,0.1536
0,22,O,0.6967
0,22,Y,0.1519
0,22,B,0.1514
0,23,O,0.7009
0,23,Y,0.1508
0,23,B,0.1483
0,24,O,0.6979
0,24,Y,0.1495
0,24,B,0.1526
0,25,O,0.6947
0,25,Y,0.1525
0,25,B,0.1528
0,26,O,0.699
0,26,Y,0.1496
0,26,B,0.1514
0,27,O,0.7008
0,27,Y,0.1491
0,27,B,0.1501
0,28,O,0.6982
0,28,Y,0.153
0,28,B,0.1488
0,29,O,0.6917
0,29,Y,0.155
0,29,B,0.1533
0,30,O,0.6987
0,30,Y,0.1543
0,30,B,0.147
0,31,O,0.6934
0,31,Y,0.1551
0,31,B,0.1515
0,32,O,0.7123
0,32,Y,0.1482
0,32,B,0.1395
0,33,O,0.7045
0,33,Y,0.1485
0,33,B,0.147
0,34,O,0.6995
0,34,Y,0.1516
0,34,B,0.1489
0,35,O,0.6949
0,35,Y,0.1501
0,35,B,0.155
0,36,O,0.7053
0,36,Y,0.1413
0,36,B,0.1534
0,37,O,0.6924
0,37,Y,0.1568
0,37,B,0.1508
0,38,O,0.6999
0,38,Y,0.1499
0,38,B,0.1502
0,39,O,0.6968
0,39,Y,0.1541
0,39,B,0.1491
0,40,O,0.6966
0,40,Y,0.1578
0,40,B,0.1456
0,41,O,0.7032
0,41,Y,0.1495
0,41,B,0.1473
0,42,O,0.7035
0,42,Y,0.1482
0,42,B,0.1483
0,43,O,0.7054
0,43,Y,0.1492
0,43,B,0.1454
0,44,O,0.6967
0,44,Y,0.153
0,44,B,0.1503
0,45,O,0.6989
0,45,Y,0.1558
0,45,B,0.1453
0,46,O,0.6921
0,46,Y,0.1589
0,46,B,0.149
0,47,O,0.698
0,47,Y,0.1471
0,47,B,0.1549
0,48,O,0.6976
0,48,Y,0.1521
0,48,B,0.1503
0,49,O,0.6996
0,49,Y,0.1507
0,49,B,0.1497
0,50,O,0.7041
0,50,Y,0.1503
0,50,B,0.1456
0,51,O,0.6982
0,51,Y,0.1486
0,51,B,0.1532
0,52,O,0.7097
0,52,Y,0.1446
0,52,B,0.1457
0,53,O,0.7025
0,53,Y,0.1504
0,53,B,0.1471
0,54,O,0.6936
0,54,Y,0.1574
0,54,B,0.149
0,55,O,0.6968
0,55,Y,0.1505
0,55,B,0.1527
0,56,O,0.6926
0,56,Y,0.156
0,56,B,0.1514
0,57,O,0.6997
0,57,Y,0.1528
0,57,B,0.1475
0,58,O,0.7018
0,58,Y,0.1454
0,58,B,0.1528
0,59,O,0.7001
0,59,Y,0.1436
0,59,B,0.1563
0,60,O,0.6985
0,60,Y,0.1489
0,60,B,0.1526
0,61,O,0.6956
0,61,Y,0.1537
0,61,B,0.1507
0,62,O,0.709
0,62,Y,0.145
0,62,B,0.146
0,63,O,0.6961
0,63,Y,0.1515
0,63,B,0.1524
