t,pop,estrategia,frequencia
0,0,O,0.5985
0,0,Y,0.1997
0,0,B,0.2018
0,1,O,0.6083
0,1,Y,0.1957
0,1,B,0.196
0,2,O,0.6048
0,2,Y,0.1967
0,2,B,0.1985
0,3,O,0.6043
0,3,Y,0.195
0,3,B,0.2007
0,4,O,0.6021
0,4,Y,0.192
0,4,B,0.2059
0,5,O,0.6044
0,5,Y,0.2016
0,5,B,0.194
0,6,O,0.5956
0,6,Y,0.2032
0,6,B,0.2012
0,7,O,0.6045
0,7,Y,0.1984
0,7,B,0.1971
0,8,O,0.5966
0,8,Y,0.2019
0,8,B,0.2015
0,9,O,0.5949
0,9,Y,0.2013
0,9,B,0.2038
0,10,O,0.6055
0,10,Y,0.196
0,10,B,0.1985
0,11,O,0.5964
0,11,Y,0.2015
0,11,B,0.2021
0,12,O,0.5951
0,12,Y,0.201
0,12,B,0.2039
0,13,O,0.5965
0,13,Y,0.2044
0,13,B,0.1991
0,14,O,0.6014
0,14,Y,0.199
0,14,B,0.1996
0,15,O,0.5954
0,15,Y,0.1989
0,15,B,0.2057
0,16,O,0.6072
0,16,Y,0.1955
0,16,B,0.1973
0,17,O,0.5999
0,17,Y,0.2023
0,17,B,0.1978
0,18,O,0.6003
0,18,Y,0.2019
0,18,B,0.1978
0,19,O,0.5986
0,19,Y,0.2032
0,19,B,0.1982
0,20,O,0.5922
0,20,Y,0.2082
0,20,B,0.1996
0,21,O,0.5919
0,21,Y,0.1999
0,21,B,0.2082
0,22,O,0.5923
0,22,Y,0.2041
0,22,B,0.2036
0,23,O,0.5944
0,23,Y,0.2067
0,23,B,0.1989
0,24,O,0.5993
0,24,Y,0.1982
0,24,B,0.2025
0,25,O,0.5948
0,25,Y,0.2011
0,25,B,0.2041
0,26,O,0.5986
0,26,Y,0.199
0,26,B,0.2024
0,27,O,0.5978
0,27,Y,0.203
0,27,B,0.1992
0,28,O,0.5963
0,28,Y,0.2054
0,28,B,0.1983
0,29,O,0.5924
0,29,Y,0.2041
0,29,B,0.2035
0,30,O,0.599
0,30,Y,0.2018
0,30,B,0.1992
0,31,O,0.5915
0,31,Y,0.2058
0,31,B,0.2027
0,32,O,0.6084
0,32,Y,0.2031
0,32,B,0.1885
0,33,O,0.6071
0,33,Y,0.1956
