t,pop,estrategia,frequencia
1,32,Y,0.3348
1,32,B,0.298
1,33,O,0.376
1,33,Y,0.3432
1,33,B,0.2808
1,34,O,0.3711
1,34,Y,0.3097
1,34,B,0.3192
1,35,O,0.3204
1,35,Y,0.3201
1,35,B,0.3595
1,36,O,0.3552
1,36,Y,0.382
1,36,B,0.2628
1,37,O,0.3488
1,37,Y,0.3324
1,37,B,0.3188
1,38,O,0.3351
1,38,Y,0.3527
1,38,B,0.3122
1,39,O,0.3373
1,39,Y,0.3186
1,39,B,0.3441
1,40,O,0.3681
1,40,Y,0.3315
1,40,B,0.3004
1,41,O,0.3772
1,41,Y,0.3227
1,41,B,0.3001
1,42,O,0.3648
1,42,Y,0.3397
1,42,B,0.2955
1,43,O,0.3233
1,43,Y,0.3946
1,43,B,0.2821
1,44,O,0.3549
1,44,Y,0.3003
1,44,B,0.3448
1,45,O,0.3527
1,45,Y,0.364
1,45,B,0.2833
1,46,O,0.338
1,46,Y,0.3334
1,46,B,0.3286
1,47,O,0.3152
1,47,Y,0.3366
1,47,B,0.3482
1,48,O,0.3296
1,48,Y,0.3648
1,48,B,0.3056
1,49,O,0.2903
1,49,Y,0.389
1,49,B,0.3207
2,0,O,0.2633
2,0,Y,0.3044
2,0,B,0.4323
2,1,O,0.3505
2,1,Y,0.2783
2,1,B,0.3712
2,2,O,0.3351
2,2,Y,0.3078
2,2,B,0.3571
2,3,O,0.3097
2,3,Y,0.3775
2,3,B,0.3128
2,4,O,0.3114
2,4,Y,0.3149
2,4,B,0.3737
2,5,O,0.3477
2,5,Y,0.2965
2,5,B,0.3558
2,6,O,0.3392
2,6,Y,0.3196
2,6,B,0.3412
2,7,O,0.3216
2,7,Y,0.3036
2,7,B,0.3748
2,8,O,0.4057
2,8,Y,0.2823
2,8,B,0.312
2,9,O,0.4079
2,9,Y,0.2694
2,9,B,0.3227
2,10,O,0.2897
2,10,Y,0.3657
2,10,B,0.3446
2,11,O,0.3694
2,11,Y,0.3231
2,11,B,0.3075
2,12,O,0.2854
2,12,Y,0.2782
2,12,B,0.4364
2,13,O,0.3226
2,13,Y,0.3101
2,13,B,0.3673
2,14,O,0.3203
2,14,Y,0.3067
2,14,B,0.373
2,15,O,0.3677
2,15,Y,0.322
2,15,B,0.3103
2,16,O,0.2831
2,16,Y,0.3421
2,16,B,0.3748
2,17,O,0.3456
2,17,Y,0.3712
2,17,B,0.2832
2,18,O,0.3343
2,18,Y,0.2674
2,18,B,0.3983
2,19,O,0.3141
2,19,Y,0.3703
2,19,B,0.3156
2,20,O,0.3411
2,20,Y,0.283
2,20,B,0.3759
2,21,O,0.2965
2,21,Y,0.35
2,21,B,0.3535
2,22,O,0.3169
2,22,Y,0.2636
2,22,B,0.4195
2,23,O,0.398
2,23,Y,0.2823
2,23,B,0.3197
2,24,O,0.3274
2,24,Y,0.3168
2,24,B,0.3558
2,25,O,0.3546
2,25,Y,0.3032
2,25,B,0.3422
2,26,O,0.3863
2,26,Y,0.2739
2,26,B,0.3398
2,27,O,0.381
2,27,Y,0.2698
2,27,B,0.3492
2,28,O,0.2481
2,28,Y,0.3618
2,28,B,0.3901
2,29,O,0.3748
2,29,Y,0.2924
2,29,B,0.3328
2,30,O,0.3358
2,30,Y,0.3406
2,30,B,0.3236
2,31,O,0.3829
2,31,Y,0.2498
2,31,B,0.3673
2,32,O,0.3238
2,32,Y,0.3049
2,32,B,0.3713
2,33,O,0.3184
2,33,Y,0.3689
2,33,B,0.3127
2,34,O,0.364
2,34,Y,0.3079
2,34,B,0.3281
2,35,O,0.3625
2,35,Y,0.2756
2,35,B,0.3619
2,36,O,0.2753
2,36,Y,0.4062
2,36,B,0.3185
2,37,O,0.3785
2,37,Y,0.3069
2,37,B,0.3146
2,38,O,0.3159
2,38,Y,0.3154
2,38,B,0.3687
2,39,O,0.3791
2,39,Y,0.2402
2,39,B,0.3807
2,40,O,0.3205
2,40,Y,0.325
2,40,B,0.3545
2,41,O,0.3459
2,41,Y,0.3483
2,41,B,0.3058
2,42,O,0.3705
2,42,Y,0.3156
2,42,B,0.3139
2,43,O,0.2904
2,43,Y,0.3314
2,43,B,0.3782
2,44,O,0.3548
2,44,Y,0.2965
2,44,B,0.3487
2,45,O,0.3044
2,45,Y,0.3701
2,45,B,0.3255
2,46,O,0.3354
2,46,Y,0.3099
2,46,B,0.3547
2,47,O,0.3299
2,47,Y,0.3003
2,47,B,0.3698
2,48,O,0.3222
2,48,Y,0.3431
2,48,B,0.3347
2,49,O,0.307
2,49,Y,0.2791
2,49,B,0.4139
3,0,O,0.3171
3,0,Y,0.2678
3,0,B,0.4151
3,1,O,0.3878
3,1,Y,0.2732
3,1,B,0.339
3,2,O,0.3404
3,2,Y,0.3067
3,2,B,0.3529
3,3,O,0.276
3,3,Y,0.3654
3,3,B,0.3586
3,4,O,0.3084
3,4,Y,0.3143
3,4,B,0.3773
3,5,O,0.3583
3,5,Y,0.2765
3,5,B,0.3652
3,6,O,0.339
3,6,Y,0.3077
3,6,B,0.3533
3,7,O,0.3408
3,7,Y,0.2831
3,7,B,0.3761
3,8,O,0.3829
3,8,Y,0.3009
3,8,B,0.3162
3,9,O,0.4049
3,9,Y,0.2835
3,9,B,0.3116
3,10,O,0.2856
3,10,Y,0.3264
3,10,B,0.388
3,11,O,0.3451
3,11,Y,0.3042
3,11,B,0.3507
3,12,O,0.3558
3,12,Y,0.2146
3,12,B,0.4296
3,13,O,0.3427
3,13,Y,0.2644
3,13,B,0.3929
3,14,O,0.3303
3,14,Y,0.2658
3,14,B,0.4039
3,15,O,0.3414
3,15,Y,0.3504
3,15,B,0.3082
3,16,O,0.3141
3,16,Y,0.3069
3,16,B,0.379
3,17,O,0.2738
3,17,Y,0.4145
3,17,B,0.3117
3,18,O,0.4047
3,18,Y,0.2241
3,18,B,0.3712
3,19,O,0.2679
3,19,Y,0.3386
3,19,B,0.3935
3,20,O,0.3445
3,20,Y,0.2982
3,20,B,0.3573
3,21,O,0.3118
3,21,Y,0.2747
3,21,B,0.4135
3,22,O,0.3432
3,22,Y,0.2454
3,22,B,0.4114
3,23,O,0.3769
3,23,Y,0.3063
3,23,B,0.3168
3,24,O,0.3639
3,24,Y,0.2812
3,24,B,0.3549
3,25,O,0.3315
3,25,Y,0.331
3,25,B,0.3375
3,26,O,0.3868
3,26,Y,0.3041
3,26,B,0.3091
3,27,O,0.3807
3,27,Y,0.3235
3,27,B,0.2958
3,28,O,0.2733
3,28,Y,0.2652
3,28,B,0.4615
3,29,O,0.3767
3,29,Y,0.3294
3,29,B,0.2939
3,30,O,0.305
3,30,Y,0.3394
3,30,B,0.3556
3,31,O,0.3928
3,31,Y,0.2989
3,31,B,0.3083
3,32,O,0.3428
3,32,Y,0.3084
3,32,B,0.3488
3,33,O,0.2901
3,33,Y,0.3599
3,33,B,0.35
3,34,O,0.3442
3,34,Y,0.3403
3,34,B,0.3155
3,35,O,0.3965
3,35,Y,0.2733
3,35,B,0.3302
3,36,O,0.2562
3,36,Y,0.3375
3,36,B,0.4063
3,37,O,0.347
3,37,Y,0.2994
3,37,B,0.3536
3,38,O,0.3181
3,38,Y,0.291
3,38,B,0.3909
