pop,t,freq_O,freq_Y,freq_B,r_mean,r_O,r_Y,r_B
0,-1,0.3347,0.33,0.3353,4.4955,4.533014639976098,4.457575757575758,4.4953772740829105
0,0,0.3626,0.3395,0.2979,1.0302,1.0281301709873139,1.031222385861561,1.031554212823095
0,1,0.3516,0.3512,0.2972,1.0,1.0,1.0,1.0
0,2,0.3385,0.3532,0.3083,1.0,1.0,1.0,1.0
0,3,0.3299,0.3575,0.3126,1.0,1.0,1.0,1.0
0,4,0.3229,0.3596,0.3175,1.0,1.0,1.0,1.0
0,5,0.3188,0.3628,0.3184,1.0,1.0,1.0,1.0
0,6,0.3153,0.369,0.3157,1.0,1.0,1.0,1.0
0,7,0.3086,0.3759,0.3155,1.0,1.0,1.0,1.0
0,8,0.2987,0.3792,0.3221,1.0,1.0,1.0,1.0
0,9,0.2905,0.3781,0.3314,1.0,1.0,1.0,1.0
0,10,0.2871,0.3713,0.3416,1.0,1.0,1.0,1.0
0,11,0.2936,0.3579,0.3485,1.0,1.0,1.0,1.0
0,12,0.3042,0.3444,0.3514,1.0,1.0,1.0,1.0
0,13,0.3197,0.3311,0.3492,1.0,1.0,1.0,1.0
0,14,0.3391,0.3168,0.3441,1.0,1.0,1.0,1.0
0,15,0.3592,0.3053,0.3355,1.0,1.0,1.0,1.0
0,16,0.3771,0.3045,0.3184,1.0,1.0,1.0,1.0
0,17,0.3846,0.3135,0.3019,1.0,1.0,1.0,1.0
0,18,0.3811,0.3308,0.2881,1.0,1.0,1.0,1.0
0,19,0.3656,0.3504,0.284,1.0,1.0,1.0,1.0
0,20,0.3505,0.359,0.2905,1.0,1.0,1.0,1.0
0,21,0.3367,0.3602,0.3031,1.0,1.0,1.0,1.0
0,22,0.3256,0.3559,0.3185,1.0,1.0,1.0,1.0
0,23,0.3198,0.3468,0.3334,1.0,1.0,1.0,1.0
0,24,0.3188,0.3279,0.3533,1.0,1.0,1.0,1.0
0,25,0.3266,0.3147,0.3587,1.0,1.0,1.0,1.0
0,26,0.3386,0.3108,0.3506,1.0,1.0,1.0,1.0
0,27,0.3475,0.3092,0.3433,1.0,1.0,1.0,1.0
0,28,0.3555,0.3039,0.3406,1.0,1.0,1.0,1.0
0,29,0.3596,0.2989,0.3415,1.0,1.0,1.0,1.0
0,30,0.3629,0.301,0.3361,1.0,1.0,1.0,1.0
0,31,0.3651,0.3054,0.3295,1.0,1.0,1.0,1.0
0,32,0.3642,0.312,0.3238,1.0,1.0,1.0,1.0
0,33,0.3628,0.3196,0.3176,1.0,1.0,1.0,1.0
0,34,0.3537,0.3225,0.3238,1.0,1.0,1.0,1.0
0,35,0.3466,0.3254,0.328,1.0,1.0,1.0,1.0
0,36,0.3405,0.3321,0.3274,1.0,1.0,1.0,1.0
0,37,0.3332,0.34,0.3268,1.0,1.0,1.0,1.0
