t,pop,estrategia,frequencia
82,0,Y,0.2503
82,0,B,0.3458
83,0,O,0.3899
83,0,Y,0.1974
83,0,B,0.4127
84,0,O,0.415
84,0,Y,0.2096
84,0,B,0.3754
85,0,O,0.4361
85,0,Y,0.2282
85,0,B,0.3357
86,0,O,0.4098
86,0,Y,0.2681
86,0,B,0.3221
87,0,O,0.4013
87,0,Y,0.2244
87,0,B,0.3743
88,0,O,0.4308
88,0,Y,0.198
88,0,B,0.3712
89,0,O,0.5071
89,0,Y,0.2008
89,0,B,0.2921
90,0,O,0.5217
90,0,Y,0.2439
90,0,B,0.2344
91,0,O,0.4899
91,0,Y,0.2694
91,0,B,0.2407
92,0,O,0.446
92,0,Y,0.2579
92,0,B,0.2961
93,0,O,0.4058
93,0,Y,0.24
93,0,B,0.3542
94,0,O,0.3774
94,0,Y,0.2431
94,0,B,0.3795
95,0,O,0.3692
95,0,Y,0.2493
95,0,B,0.3815
96,0,O,0.4065
96,0,Y,0.2277
96,0,B,0.3658
97,0,O,0.4786
97,0,Y,0.2192
97,0,B,0.3022
98,0,O,0.5279
98,0,Y,0.2379
98,0,B,0.2342
99,0,O,0.5101
99,0,Y,0.2938
99,0,B,0.1961
100,0,O,0.4323
100,0,Y,0.2727
100,0,B,0.295
101,0,O,0.3712
101,0,Y,0.2382
101,0,B,0.3906
102,0,O,0.3592
102,0,Y,0.2297
102,0,B,0.4111
103,0,O,0.4141
103,0,Y,0.2093
103,0,B,0.3766
104,0,O,0.4696
104,0,Y,0.2519
104,0,B,0.2785
105,0,O,0.4664
105,0,Y,0.281
105,0,B,0.2526
106,0,O,0.4226
106,0,Y,0.2488
106,0,B,0.3286
107,0,O,0.4258
107,0,Y,0.2054
107,0,B,0.3688
108,0,O,0.476
108,0,Y,0.2108
108,0,B,0.3132
109,0,O,0.5083
109,0,Y,0.2243
109,0,B,0.2674
110,0,O,0.5298
110,0,Y,0.2881
110,0,B,0.1821
111,0,O,0.4521
111,0,Y,0.3243
111,0,B,0.2236
112,0,O,0.3667
112,0,Y,0.2852
112,0,B,0.3481
113,0,O,0.3381
113,0,Y,0.2076
113,0,B,0.4543
114,0,O,0.4291
114,0,Y,0.1745
114,0,B,0.3964
115,0,O,0.5119
115,0,Y,0.2213
115,0,B,0.2668
116,0,O,0.4839
116,0,Y,0.2997
116,0,B,0.2164
117,0,O,0.4243
117,0,Y,0.3064
117,0,B,0.2693
118,0,O,0.3914
118,0,Y,0.2611
118,0,B,0.3475
119,0,O,0.389
119,0,Y,0.2372
119,0,B,0.3738
120,0,O,0.4158
120,0,Y,0.2118
120,0,B,0.3724
121,0,O,0.4528
121,0,Y,0.2351
121,0,B,0.3121
122,0,O,0.4547
122,0,Y,0.2632
122,0,B,0.2821
123,0,O,0.437
123,0,Y,0.2558
123,0,B,0.3072
124,0,O,0.4394
124,0,Y,0.2403
124,0,B,0.3203
125,0,O,0.4623
125,0,Y,0.2198
125,0,B,0.3179
126,0,O,0.5014
126,0,Y,0.2324
126,0,B,0.2662
127,0,O,0.5229
127,0,Y,0.2659
127,0,B,0.2112
128,0,O,0.4635
128,0,Y,0.3409
128,0,B,0.1956
129,0,O,0.3535
129,0,Y,0.3243
129,0,B,0.3222
130,0,O,0.3021
130,0,Y,0.2641
130,0,B,0.4338
131,0,O,0.3757
131,0,Y,0.1724
131,0,B,0.4519
132,0,O,0.5043
132,0,Y,0.1899
132,0,B,0.3058
133,0,O,0.5344
133,0,Y,0.2699
133,0,B,0.1957
134,0,O,0.4626
134,0,Y,0.3107
134,0,B,0.2267
135,0,O,0.3594
135,0,Y,0.3141
135,0,B,0.3265
136,0,O,0.2918
136,0,Y,0.2118
136,0,B,0.4964
137,0,O,0.306
137,0,Y,0.1824
137,0,B,0.5116
138,0,O,0.4145
138,0,Y,0.1631
138,0,B,0.4224
139,0,O,0.5511
139,0,Y,0.1835
139,0,B,0.2654
140,0,O,0.5537
140,0,Y,0.2886
140,0,B,0.1577
141,0,O,0.4686
141,0,Y,0.3409
141,0,B,0.1905
142,0,O,0.402
142,0,Y,0.2541
142,0,B,0.3439
143,0,O,0.4149
143,0,Y,0.2062
143,0,B,0.3789
144,0,O,0.4379
144,0,Y,0.2553
144,0,B,0.3068
145,0,O,0.424
145,0,Y,0.2985
145,0,B,0.2775
146,0,O,0.4113
146,0,Y,0.2695
146,0,B,0.3192
147,0,O,0.4367
147,0,Y,0.2457
147,0,B,0.3176
148,0,O,0.4869
148,0,Y,0.2249
148,0,B,0.2882
149,0,O,0.4931
149,0,Y,0.2391
149,0,B,0.2678
150,0,O,0.4797
150,0,Y,0.256
150,0,B,0.2643
151,0,O,0.4434
151,0,Y,0.2728
151,0,B,0.2838
152,0,O,0.3843
152,0,Y,0.2717
152,0,B,0.344
153,0,O,0.382
153,0,Y,0.2359
153,0,B,0.3821
154,0,O,0.4655
154,0,Y,0.201
154,0,B,0.3335
155,0,O,0.5177
155,0,Y,0.2457
155,0,B,0.2366
156,0,O,0.4476
156,0,Y,0.3317
156,0,B,0.2207
157,0,O,0.3548
157,0,Y,0.2991
157,0,B,0.3461
158,0,O,0.3466
158,0,Y,0.1985
158,0,B,0.4549
159,0,O,0.4384
159,0,Y,0.1536
159,0,B,0.408
160,0,O,0.5313
160,0,Y,0.2109
160,0,B,0.2578
161,0,O,0.5315
161,0,Y,0.2982
161,0,B,0.1703
162,0,O,0.4309
162,0,Y,0.3494
162,0,B,0.2197
163,0,O,0.3501
163,0,Y,0.2578
163,0,B,0.3921
164,0,O,0.3605
164,0,Y,0.1908
164,0,B,0.4487
165,0,O,0.4331
165,0,Y,0.2002
165,0,B,0.3667
166,0,O,0.4982
166,0,Y,0.2557
166,0,B,0.2461
167,0,O,0.4544
167,0,Y,0.3536
167,0,B,0.192
168,0,O,0.3541
168,0,Y,0.3372
168,0,B,0.3087
169,0,O,0.315
169,0,Y,0.2134
169,0,B,0.4716
170,0,O,0.4382
170,0,Y,0.1399
170,0,B,0.4219
171,0,O,0.5936
171,0,Y,0.1917
171,0,B,0.2147
172,0,O,0.5757
172,0,Y,0.3083
172,0,B,0.116
173,0,O,0.447
173,0,Y,0.3718
173,0,B,0.1812
174,0,O,0.3617
174,0,Y,0.2605
174,0,B,0.3778
175,0,O,0.325
175,0,Y,0.2339
175,0,B,0.4411
176,0,O,0.3569
176,0,Y,0.1727
176,0,B,0.4704
177,0,O,0.4821
177,0,Y,0.1446
177,0,B,0.3733
178,0,O,0.5943
178,0,Y,0.2087
178,0,B,0.197
179,0,O,0.5211
179,0,Y,0.3521
179,0,B,0.1268
180,0,O,0.3947
180,0,Y,0.3467
180,0,B,0.2586
181,0,O,0.314
181,0,Y,0.1993
181,0,B,0.4867
182,0,O,0.335
182,0,Y,0.1666
182,0,B,0.4984
183,0,O,0.4155
183,0,Y,0.1786
183,0,B,0.4059
184,0,O,0.4505
184,0,Y,0.2478
184,0,B,0.3017
185,0,O,0.4545
185,0,Y,0.2693
185,0,B,0.2762
186,0,O,0.4403
186,0,Y,0.2552
186,0,B,0.3045
187,0,O,0.4349
187,0,Y,0.2347
187,0,B,0.3304
188,0,O,0.4572
188,0,Y,0.209
188,0,B,0.3338
189,0,O,0.5049
189,0,Y,0.2277
189,0,B,0.2674
190,0,O,0.5156
190,0,Y,0.2826
190,0,B,0.2018
191,0,O,0.4763
191,0,Y,0.3148
191,0,B,0.2089
192,0,O,0.3992
192,0,Y,0.2942
192,0,B,0.3066
193,0,O,0.3451
193,0,Y,0.2582
193,0,B,0.3967
194,0,O,0.3571
194,0,Y,0.2178
194,0,B,0.4251
195,0,O,0.4343
195,0,Y,0.2166
195,0,B,0.3491
196,0,O,0.4809
196,0,Y,0.2475
196,0,B,0.2716
197,0,O,0.4698
197,0,Y,0.2704
197,0,B,0.2598
198,0,O,0.4606
198,0,Y,0.2538
198,0,B,0.2856
199,0,O,0.4477
199,0,Y,0.2516
199,0,B,0.3007
200,0,O,0.4442
200,0,Y,0.2194
200,0,B,0.3364
