y,o,media_estrategias_mantidas,std_estrategias_mantidas
35,29,1.45,0.4999999999999999
35,30,1.38,0.4878317312145634
35,31,1.25,0.43519413988924455
35,32,1.16,0.3684529491774707
35,33,1.08,0.2726599243442907
35,34,1.05,0.21904291355759034
35,35,1.02,0.14070529413628968
35,36,1.01,0.09999999999999998
35,37,1.01,0.09999999999999998
35,38,1.02,0.14070529413628968
35,39,1.01,0.1
35,40,1.01,0.1
35,41,1.01,0.1
35,42,1.01,0.1
36,25,1.74,0.440844002276808
36,26,1.61,0.4902071300001974
36,27,1.48,0.5021167315686783
36,28,1.43,0.497569851956243
36,29,1.32,0.4688261722621508
36,30,1.24,0.42923469599092795
36,31,1.16,0.3684529491774707
36,32,1.09,0.28762349126466136
36,33,1.04,0.19694638556693236
36,34,1.03,0.1714466079977653
36,35,1.02,0.14070529413628968
36,36,1.01,0.1
36,37,1.01,0.1
36,38,1.01,0.1
36,39,1.01,0.1
36,40,1.02,0.14070529413628968
36,41,1.01,0.1
36,42,1.01,0.1
37,25,1.71,0.4560480215720687
37,26,1.59,0.4943110704237104
37,27,1.51,0.5024183937956913
37,28,1.46,0.5009082659620331
37,29,1.37,0.4852365870939097
37,30,1.3,0.46056618647183845
37,31,1.23,0.42295258468165065
37,32,1.17,0.37752516806863695
37,33,1.13,0.33799766898963113
37,34,1.1,0.30151134457776363
37,35,1.03,0.1714466079977653
37,36,1.03,0.1714466079977653
37,37,1.02,0.14070529413628968
37,38,1.02,0.14070529413628968
37,39,1.03,0.1714466079977653
37,40,1.04,0.19694638556693236
37,41,1.03,0.1714466079977653
37,42,1.01,0.1
38,25,1.74,0.440844002276808
38,26,1.66,0.47609522856952324
38,27,1.58,0.4960449637488582
38,28,1.5,0.502518907629606
38,29,1.45,0.5
38,30,1.34,0.4760952285695232
38,31,1.28,0.45126085985421316
38,32,1.26,0.44084400227680814
38,33,1.17,0.3775251680686369
38,34,1.1,0.30151134457776363
38,35,1.08,0.2726599243442907
38,36,1.07,0.2564323999762428
38,37,1.07,0.2564323999762428
38,38,1.07,0.2564323999762428
38,39,1.05,0.2190429135575903
38,40,1.05,0.21904291355759037
38,41,1.05,0.21904291355759037
38,42,1.04,0.19694638556693236
39,25,1.79,0.40936018074033237
39,26,1.75,0.4351941398892446
39,27,1.64,0.4824181513244217
39,28,1.6,0.49236596391733095
39,29,1.5,0.5025189076296059
39,30,1.44,0.49888765156985904
39,31,1.37,0.48523658709390977
39,32,1.32,0.4688261722621508
39,33,1.24,0.4292346959909279
39,34,1.22,0.4163331998932266
39,35,1.2,0.40201512610368473
39,36,1.16,0.36845294917747073
39,37,1.13,0.33799766898963113
39,38,1.12,0.3265986323710904
39,39,1.1,0.30151134457776363
39,40,1.09,0.2876234912646614
39,41,1.08,0.27265992434429076
39,42,1.08,0.27265992434429076
40,25,1.86,0.3487350880197771
40,26,1.81,0.3942772444036625
