pop,t,freq_O,freq_Y,freq_B,r_mean,r_O,r_Y,r_B
0,-1,0.3347,0.33,0.3353,4.4955,4.533014639976098,4.457575757575758,4.4953772740829105
0,0,0.3587,0.3409,0.3004,1.0545,1.0448843044326734,1.0604282780874157,1.059254327563249
0,1,0.3527,0.3454,0.3019,1.0251,1.0258009639920613,1.0315576143601621,1.0168930109307717
0,2,0.3453,0.3513,0.3034,1.0082,1.0115841297422532,1.0111016225448335,1.0009887936717206
0,3,0.3457,0.353,0.3013,1.0162,1.0297946196123806,1.0155807365439093,1.001327580484567
0,4,0.3363,0.3574,0.3063,1.0097,1.0142729705619982,1.0134303301622831,1.000326477309827
0,5,0.3338,0.3631,0.3031,1.0161,1.0230677052127022,1.0217570917102727,1.001649620587265
0,6,0.3306,0.3627,0.3067,1.0051,1.0054446460980035,1.008822718500138,1.0003260515161396
0,7,0.3228,0.3669,0.3103,1.0045,1.005266418835192,1.0076315072226765,1.0
0,8,0.3182,0.3684,0.3134,1.0007,1.001571338780641,1.000542888165038,1.0
0,9,0.3137,0.3654,0.3209,1.0,1.0,1.0,1.0
0,10,0.3179,0.3513,0.3308,1.0,1.0,1.0,1.0
0,11,0.3344,0.3312,0.3344,1.0,1.0,1.0,1.0
0,12,0.3457,0.3174,0.3369,1.0,1.0,1.0,1.0
0,13,0.353,0.3107,0.3363,1.0,1.0,1.0,1.0
0,14,0.3536,0.3095,0.3369,1.0,1.0,1.0,1.0
0,15,0.3516,0.31,0.3384,1.0,1.0,1.0,1.0
0,16,0.3502,0.308,0.3418,1.0,1.0,1.0,1.0
0,17,0.3483,0.3058,0.3459,1.0,1.0,1.0,1.0
0,18,0.3448,0.3101,0.3451,1.0,1.0,1.0,1.0
0,19,0.342,0.3139,0.3441,1.0,1.0,1.0,1.0
0,20,0.3384,0.3144,0.3472,1.0,1.0,1.0,1.0
0,21,0.3314,0.3103,0.3583,1.0,1.0,1.0,1.0
0,22,0.3307,0.3058,0.3635,1.0,1.0,1.0,1.0
0,23,0.3322,0.3063,0.3615,1.0,1.0,1.0,1.0
0,24,0.338,0.3102,0.3518,1.0,1.0,1.0,1.0
0,25,0.3373,0.3168,0.3459,1.0,1.0,1.0,1.0
0,26,0.3292,0.327,0.3438,1.0,1.0,1.0,1.0
0,27,0.3139,0.3422,0.3439,1.0,1.0,1.0,1.0
0,28,0.2947,0.355,0.3503,1.0,1.0,1.0,1.0
0,29,0.2788,0.358,0.3632,1.0,1.0,1.0,1.0
0,30,0.2713,0.3473,0.3814,1.0,1.0,1.0,1.0
0,31,0.2774,0.3318,0.3908,1.0,1.0,1.0,1.0
0,32,0.2945,0.3169,0.3886,1.0,1.0,1.0,1.0
0,33,0.3176,0.307,0.3754,1.0,1.0,1.0,1.0
0,34,0.3352,0.3078,0.357,1.0,1.0,1.0,1.0
0,35,0.3427,0.3218,0.3355,1.0,1.0,1.0,1.0
0,36,0.3432,0.3402,0.3166,1.0,1.0,1.0,1.0
0,37,0.336,0.3528,0.3112,1.0,1.0,1.0,1.0
